state,month,count,role
Andaman & Nicobar Islands,2025-01-07,259,biometric
Andaman and Nicobar Islands,2025-01-03,2494,biometric
Andhra Pradesh,2025-01-04,608589,biometric
Arunachal Pradesh,2025-01-06,7138,biometric
Assam,2025-01-04,139659,biometric
Bihar,2025-01-04,795719,biometric
Chandigarh,2025-01-07,32547,biometric
Chhattisgarh,2025-01-03,171392,biometric
Dadra & Nagar Haveli,2025-01-03,139,biometric
Dadra and Nagar Haveli,2025-01-05,3589,biometric
Dadra and Nagar Haveli and Daman and Diu,2025-01-06,306,biometric
Daman & Diu,2025-01-03,367,biometric
Daman and Diu,2025-01-06,585,biometric
Delhi,2025-01-04,273966,biometric
Goa,2025-01-04,9312,biometric
Gujarat,2025-01-07,541874,biometric
Haryana,2025-01-07,267325,biometric
Himachal Pradesh,2025-01-03,55452,biometric
Jammu & Kashmir,2025-09-09,11,biometric
Jammu and Kashmir,2025-01-07,102251,biometric
Jharkhand,2025-01-04,378962,biometric
Karnataka,2025-01-07,374362,biometric
Kerala,2025-01-05,247491,biometric
Ladakh,2025-01-04,1003,biometric
Lakshadweep,2025-01-03,425,biometric
Madhya Pradesh,2025-01-07,1004035,biometric
Maharashtra,2025-01-07,1230369,biometric
Manipur,2025-01-07,86754,biometric
Meghalaya,2025-01-07,14360,biometric
Mizoram,2025-01-03,51069,biometric
Nagaland,2025-01-06,11325,biometric
Odisha,2025-01-03,343954,biometric
Orissa,2025-01-06,4256,biometric
Pondicherry,2025-01-07,2906,biometric
Puducherry,2025-01-07,5099,biometric
Punjab,2025-01-07,277717,biometric
Rajasthan,2025-01-07,650116,biometric
Sikkim,2025-01-03,4554,biometric
Tamil Nadu,2025-01-03,680675,biometric
Telangana,2025-01-07,226619,biometric
Tripura,2025-01-03,61839,biometric
Uttar Pradesh,2025-01-07,1426001,biometric
Uttarakhand,2025-01-07,83007,biometric
WEST BENGAL,2025-08-09,3,biometric
West Bengal,2025-01-07,419961,biometric
