date,state,district,pincode,bio_age_5_17,bio_age_17_,pin,total_bio_updates,month
2025-01-03,Haryana,Mahendragarh,123029,280,577,,857,2025-01-01
2025-01-03,Bihar,Madhepura,852121,144,369,,513,2025-01-01
2025-01-03,Jammu and Kashmir,Punch,185101,643,1091,,1734,2025-01-01
2025-01-03,Bihar,Bhojpur,802158,256,980,,1236,2025-01-01
2025-01-03,Tamil Nadu,Madurai,625514,271,815,,1086,2025-01-01
2025-01-03,Maharashtra,Ratnagiri,416702,155,529,,684,2025-01-01
2025-01-03,Gujarat,Anand,388130,75,143,,218,2025-01-01
2025-01-03,Gujarat,Gandhinagar,382421,192,298,,490,2025-01-01
2025-01-03,Odisha,Dhenkanal,759025,122,214,,336,2025-01-01
2025-01-03,Gujarat,Valsad,396055,67,85,,152,2025-01-01
