date,state,district,pincode,demo_age_5_17,demo_age_17_,pin,total_demo_updates,month
2025-01-03,Uttar Pradesh,Gorakhpur,273213,49,529,,578,2025-01-01
2025-01-03,Andhra Pradesh,Chittoor,517132,22,375,,397,2025-01-01
2025-01-03,Gujarat,Rajkot,360006,65,765,,830,2025-01-01
2025-01-03,Andhra Pradesh,Srikakulam,532484,24,314,,338,2025-01-01
2025-01-03,Rajasthan,Udaipur,313801,45,785,,830,2025-01-01
2025-01-03,Rajasthan,Sikar,332028,28,285,,313,2025-01-01
2025-01-03,Karnataka,Tumakuru,572201,88,332,,420,2025-01-01
2025-01-03,Uttar Pradesh,Gorakhpur,273211,61,836,,897,2025-01-01
2025-01-03,Andhra Pradesh,Kurnool,518313,83,986,,1069,2025-01-01
2025-01-03,West Bengal,Paschim Medinipur,721148,13,281,,294,2025-01-01
