date,state,district,pincode,age_0_5,age_5_17,age_18_greater,pin,total_enrolments,month
2025-02-03,Meghalaya,East Khasi Hills,793121,11,61,37,,109,2025-02-01
2025-09-03,Karnataka,Bengaluru Urban,560043,14,33,39,,86,2025-09-01
2025-09-03,Uttar Pradesh,Kanpur Nagar,208001,29,82,12,,123,2025-09-01
2025-09-03,Uttar Pradesh,Aligarh,202133,62,29,15,,106,2025-09-01
2025-09-03,Karnataka,Bengaluru Urban,560016,14,16,21,,51,2025-09-01
2025-09-03,Bihar,Sitamarhi,843331,20,49,12,,81,2025-09-01
2025-09-03,Bihar,Sitamarhi,843330,23,24,42,,89,2025-09-01
2025-09-03,Uttar Pradesh,Bahraich,271865,26,60,14,,100,2025-09-01
2025-09-03,Uttar Pradesh,Firozabad,283204,28,26,10,,64,2025-09-01
2025-09-03,Bihar,Purbi Champaran,845418,30,48,10,,88,2025-09-01
