state,count
Uttar Pradesh,1727313
Bihar,905722
Maharashtra,766900
Madhya Pradesh,762053
West Bengal,760464
Rajasthan,718275
Delhi,487807
Andhra Pradesh,485814
Chhattisgarh,463583
Gujarat,429621
Tamil Nadu,403216
Karnataka,384248
Telangana,319269
Jharkhand,305357
Haryana,286549
Odisha,225444
Punjab,203404
Assam,174687
Uttarakhand,116324
Kerala,102536
Jammu and Kashmir,98039
Manipur,35219
Himachal Pradesh,26687
Tripura,26507
Chandigarh,25536
Meghalaya,20309
Mizoram,9386
Nagaland,6215
Arunachal Pradesh,6071
Goa,5211
Puducherry,4418
Orissa,3487
Sikkim,3467
Ladakh,1063
Andaman and Nicobar Islands,1019
Pondicherry,947
Dadra and Nagar Haveli,512
Dadra and Nagar Haveli and Daman and Diu,362
Daman and Diu,335
Andaman & Nicobar Islands,151
Lakshadweep,116
Jammu & Kashmir,42
Daman & Diu,40
West Bangal,29
Dadra & Nagar Haveli,22
Westbengal,16
West  Bengal,14
West bengal,10
WEST BENGAL,8
ODISHA,7
andhra pradesh,7
WESTBENGAL,4
west Bengal,3
Chhatisgarh,2
West Bengli,1
odisha,1
